attack,base_total,defense,hp,sp_attack,sp_defense,speed,is_legendary
61,313,65,56,48,45,38,0
78,405,95,61,56,58,57,0
107,530,122,88,74,75,64,0
45,307,40,40,62,60,60,0
59,409,58,59,90,70,73,0
69,534,72,75,114,100,104,0
56,314,40,41,62,44,71,0
63,405,52,54,83,56,97,0
145,640,67,72,153,71,132,0
36,237,38,38,32,36,57,0
56,423,77,85,50,77,78,0
50,278,43,45,40,38,62,0
73,382,55,62,56,52,84,0
81,499,71,78,74,69,126,0
35,200,40,38,27,25,35,0
22,213,60,45,27,30,29,0
52,411,50,80,90,50,89,0
50,369,58,62,73,54,72,0
68,507,72,86,109,66,106,0
38,303,39,44,61,79,42,0
65,551,67,74,125,128,92,0
65,552,68,78,112,154,75,0
65,350,48,66,62,57,52,0
100,531,62,123,97,81,68,0
82,348,62,67,46,48,43,0
124,495,78,95,69,71,58,0
80,472,60,75,65,90,102,0
48,355,54,62,63,60,68,0
48,466,76,74,83,81,104,0
80,325,100,45,35,37,28,0
110,448,150,59,45,49,35,0
150,520,50,60,150,50,60,0
52,341,60,78,63,65,23,0
72,462,72,101,99,89,29,0
48,341,66,62,59,57,49,0
80,480,86,82,85,75,72,0
54,288,53,53,37,46,45,0
92,482,88,86,68,75,73,0
52,306,67,42,39,56,50,0
105,500,115,72,54,86,68,0
60,320,60,50,60,60,30,0
75,494,90,65,97,123,44,0
53,330,62,50,58,63,44,0
73,500,88,71,120,89,59,0
38,289,33,44,61,43,70,0
55,481,52,62,109,94,109,0
89,362,77,58,45,45,48,0
121,521,119,82,69,59,71,0
59,362,50,77,67,63,46,0
77,521,72,123,99,92,58,0
65,525,65,95,110,130,60,0
92,500,75,78,74,63,118,0
58,431,57,67,81,67,101,0
50,500,150,50,50,150,50,0
50,300,35,45,55,75,40,0
75,452,53,68,83,113,60,0
100,600,70,90,110,150,80,0
80,470,91,57,80,87,75,0
70,309,48,43,50,60,38,0
110,474,76,85,65,82,56,0
66,335,70,59,44,55,41,0
100,494,122,85,58,75,54,0
69,304,85,55,32,35,28,0
117,514,184,95,44,46,28,0
30,245,35,40,45,40,55,0
70,535,80,85,97,80,123,0
131,680,95,126,131,98,99,1
131,680,95,126,131,98,99,1
100,708,121,216,91,95,85,1
160,700,110,50,160,110,110,1
160,680,60,80,170,130,80,1
110,600,120,80,130,90,70,1
55,320,55,68,50,50,42,0
75,420,75,78,70,70,52,0
107,530,75,78,100,100,70,0
65,320,40,45,60,40,70,0
85,420,50,65,80,50,90,0
115,530,90,95,80,90,60,0
54,320,54,50,66,56,40,0
69,420,69,60,91,81,50,0
74,530,74,80,126,116,60,0
75,265,30,35,30,30,65,0
85,355,50,55,40,50,75,0
120,485,75,80,75,75,60,0
70,253,30,48,30,30,45,0
110,418,60,88,55,60,45,0
62,300,45,47,55,45,46,0
82,400,95,57,55,75,36,0
70,500,90,77,145,75,43,0
82,338,57,47,42,47,63,0
132,478,77,97,62,67,43,0
70,476,70,75,98,70,93,0
45,304,40,40,55,40,84,0
55,464,60,60,95,70,124,0
65,280,40,45,30,40,60,0
115,487,75,85,55,75,82,0
140,620,130,45,140,135,30,0
53,305,62,50,43,52,45,0
63,495,152,50,53,142,35,0
100,385,70,70,45,55,45,0
125,500,100,100,55,85,35,0
40,269,52,38,40,72,27,0
70,454,92,68,50,132,42,0
55,250,35,40,50,35,35,0
105,480,90,70,80,90,45,0
35,285,55,40,65,75,15,0
45,405,80,60,90,100,30,0
44,320,40,48,71,40,77,0
64,480,60,68,111,60,117,0
75,340,50,70,45,50,50,0
125,500,80,120,55,60,60,0
30,210,38,42,30,38,32,0
40,290,48,52,40,48,62,0
120,510,98,72,50,98,72,0
52,485,90,51,82,110,100,0
60,490,80,90,90,110,60,0
120,490,90,100,40,60,80,0
35,230,40,25,20,30,80,0
125,530,140,75,60,90,40,0
55,320,80,55,70,45,15,0
75,480,110,85,100,75,35,0
60,410,130,55,30,130,5,0
95,534,95,95,95,95,59,0
95,570,95,95,95,95,95,0
100,500,60,60,100,60,120,0
115,480,65,65,75,95,65,0
78,485,135,60,91,85,36,0
98,435,63,65,40,73,96,0
90,476,80,55,50,105,96,0
105,475,70,68,70,70,92,0
60,485,85,78,135,91,36,0
131,517,100,70,86,90,40,0
55,300,65,45,45,45,45,0
75,420,90,55,65,70,65,0
110,600,125,75,100,105,85,0
115,570,85,70,95,75,130,1
85,570,75,70,130,115,95,1
130,570,115,70,85,95,75,1
75,570,115,70,95,130,85,1
29,200,31,43,29,31,37,1
29,400,131,43,29,131,37,1
137,680,107,137,113,89,97,1
113,680,89,137,137,107,97,1
53,570,47,109,127,131,103,1
139,570,139,107,53,53,79,1
137,570,37,71,137,37,151,1
89,570,71,83,173,71,83,1
101,570,103,97,107,101,61,1
181,570,131,59,59,31,109,1
101,570,53,223,97,53,43,1
107,600,101,97,127,89,79,1
95,600,115,80,130,115,65,1
