name,hp,attack,defense,sp_attack,sp_defense,speed,base_total,is_legendary,cluster
Bulbasaur,45,49,49,65,65,45,318,0,3
Ivysaur,60,62,63,80,80,60,405,0,1
Venusaur,80,82,83,100,100,80,525,0,2
Charmander,39,52,43,60,50,65,309,0,3
Charmeleon,58,64,58,80,65,80,405,0,1
Charizard,78,84,78,109,85,100,534,0,2
Squirtle,44,48,65,50,64,43,314,0,3
Wartortle,59,63,80,65,80,58,405,0,1
Blastoise,79,83,100,85,105,78,530,0,2
Caterpie,45,30,35,20,20,45,195,0,3
Metapod,50,20,55,25,25,30,205,0,3
Butterfree,60,45,50,90,80,70,395,0,1
Weedle,40,35,30,20,20,50,195,0,3
Kakuna,45,25,50,25,25,35,205,0,3
Beedrill,65,90,40,45,80,145,395,0,1
Pidgey,40,45,40,35,35,56,251,0,3
Pidgeotto,63,60,55,50,50,71,349,0,1
Pidgeot,83,83,80,75,70,70,479,0,2
Rattata,30,56,35,25,35,72,253,0,3
Raticate,75,71,70,40,80,77,413,0,1
Spearow,40,60,30,31,31,70,262,0,3
Fearow,65,90,65,61,61,100,442,0,1
Ekans,35,60,44,40,54,55,288,0,3
Arbok,60,95,69,65,79,80,448,0,2
Pikachu,35,55,40,50,50,90,320,0,3
Raichu,60,85,50,95,85,110,485,0,2
Sandshrew,50,75,90,10,35,40,300,0,3
Sandslash,75,100,120,25,65,65,450,0,2
Nidoran♀,55,47,52,40,40,41,275,0,3
Nidorina,70,62,67,55,55,56,365,0,1
Nidoqueen,90,92,87,75,85,76,505,0,2
Nidoran♂,46,57,40,40,40,50,273,0,3
Nidorino,61,72,57,55,55,65,365,0,1
Nidoking,81,102,77,85,75,85,505,0,2
Clefairy,70,45,48,60,65,35,323,0,3
Clefable,95,70,73,95,90,60,483,0,2
Vulpix,38,41,40,50,65,65,299,0,3
Ninetales,73,67,75,81,100,109,505,0,2
Jigglypuff,115,45,20,45,25,20,270,0,3
Wigglytuff,140,70,45,85,50,45,435,0,1
Zubat,40,45,35,30,40,55,245,0,3
Golbat,75,80,70,65,75,90,455,0,2
Oddish,45,50,55,75,65,30,320,0,3
Gloom,60,65,70,85,75,40,395,0,1
Vileplume,75,80,85,110,90,50,490,0,2
Paras,35,70,55,45,55,25,285,0,3
Parasect,60,95,80,60,80,30,405,0,1
Venonat,60,55,50,40,55,45,305,0,3
Venomoth,70,65,60,90,75,90,450,0,2
Diglett,10,55,30,35,45,90,265,0,3
Dugtrio,35,100,60,50,70,110,425,0,1
Meowth,40,35,35,50,40,90,290,0,3
Persian,65,60,60,75,65,115,440,0,1
Psyduck,50,52,48,65,50,55,320,0,3
Golduck,80,82,78,95,80,85,500,0,2
Mankey,40,80,35,35,45,70,305,0,3
Primeape,65,105,60,60,70,95,455,0,2
Growlithe,55,70,45,70,50,60,350,0,1
Arcanine,90,110,80,100,80,95,555,0,0
Poliwag,40,50,40,40,40,90,300,0,3
Poliwhirl,65,65,65,50,50,90,385,0,1
Poliwrath,90,95,95,70,90,70,510,0,2
Abra,25,20,15,105,55,90,310,0,3
Kadabra,40,35,30,120,70,105,400,0,1
Alakazam,55,50,45,135,95,120,500,0,2
Machop,70,80,50,35,35,35,305,0,3
Machoke,80,100,70,50,60,45,405,0,1
Machamp,90,130,80,65,85,55,505,0,2
Bellsprout,50,75,35,70,30,40,300,0,3
Weepinbell,65,90,50,85,45,55,390,0,1
Victreebel,80,105,65,100,70,70,490,0,2
Tentacool,40,40,35,50,100,70,335,0,3
Tentacruel,80,70,65,80,120,100,515,0,2
Geodude,40,80,100,30,30,20,300,0,3
Graveler,55,95,115,45,45,35,390,0,1
Golem,80,120,130,55,65,45,495,0,2
Ponyta,50,85,55,65,65,90,410,0,1
Rapidash,65,100,70,80,80,105,500,0,2
Slowpoke,90,65,65,40,40,15,315,0,3
Slowbro,95,75,180,130,80,30,590,0,0
Magnemite,25,35,70,95,55,45,325,0,3
Magneton,50,60,95,120,70,70,465,0,2
Farfetch'd,52,90,55,58,62,60,377,0,1
Doduo,35,85,45,35,35,75,310,0,3
Dodrio,60,110,70,60,60,110,470,0,2
Seel,65,45,55,45,70,45,325,0,3
Dewgong,90,70,80,70,95,70,475,0,2
Grimer,80,80,50,40,50,25,325,0,3
Muk,105,105,75,65,100,50,500,0,2
Shellder,30,65,100,45,25,40,305,0,3
Cloyster,50,95,180,85,45,70,525,0,2
Gastly,30,35,30,100,35,80,310,0,3
Haunter,45,50,45,115,55,95,405,0,1
Gengar,60,65,80,170,95,130,600,0,0
Onix,35,45,160,30,45,70,385,0,1
Drowzee,60,48,45,43,90,42,328,0,3
Hypno,85,73,70,73,115,67,483,0,2
Krabby,30,105,90,25,25,50,325,0,3
Kingler,55,130,115,50,50,75,475,0,2
